TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY
Condo for sale,389990,2,1,886,Richmond County
Condo for sale,375000,3,1,500,Queens County
Condo for sale,8950000,3,4,2367,New York County
Co-op for sale,695000,2,2,1800,New York County
Condo for sale,1345000,1,2,1010,New York County
Co-op for sale,1675000,2,2,1150,New York County
Condo for sale,3550000,4,4,2120,New York County
Condo for sale,5500000,4,4,2670,New York County
Condo for sale,2750000,2,2,1856,New York County
Co-op for sale,750000,2,1,920,New York County
Co-op for sale,2150000,3,2,1800,New York County
Condo for sale,3995000,1,2,1560,New York County
Condo for sale,849000,2,2,937,Kings County
Condo for sale,995000,1,1,971,Kings County
Co-op for sale,899000,2,1,940,New York County
Co-op for sale,519000,2,1,1100,Kings County
Co-op for sale,519000,2,1,1100,Kings County
Condo for sale,995000,1,1,971,Kings County
Co-op for sale,659000,1,1,860,New York County
Condo for sale,15000000,2,2,2625,New York County
Condo for sale,1195000,1,2,1330,Kings County
Condo for sale,24500000,4,6,5427,New York County
Co-op for sale,580000,1,1,712,New York County
Condo for sale,7995000,4,4,2697,New York County
Condo for sale,529000,3,1,367,New York County
Condo for sale,654250,2,1,702,Queens County
Condo for sale,1350000,1,2,822,New York County
Condo for sale,995000,1,1,971,Kings County
Co-op for sale,899000,2,1,940,New York County
Co-op for sale,1950000,2,2,1350,New York County
Co-op for sale,740000,2,2,800,New York County
Condo for sale,654250,2,1,702,Queens County
Co-op for sale,279000,1,1,800,Queens County
Co-op for sale,189000,3,1,300,Kings County
Co-op for sale,3450000,3,4,1965,New York County
Condo for sale,550000,2,2,721,Queens County
Condo for sale,2600000,3,2,1729,New York County
Co-op for sale,370000,1,1,680,Kings County
Condo for sale,2500000,2,2,1111,Kings County
Condo for sale,2600000,3,2,1729,New York County
Condo for sale,499000,3,1,472,New York County
Condo for sale,945000,2,2,903,New York County
Condo for sale,598125,2,1,655,Queens County
Co-op for sale,349000,1,1,750,Kings County
