Region,Month of Period End,Median Sale Price in Thousands,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List as %,Average Sale To List MoM ,Average Sale To List YoY ,Average Listing Price Thousands
"Boston, MA metro area",July 2022,688.0,-2.4%,8.3%,"4,665",-18.3%,-20.9%,"4,797",-29.5%,-14.6%,"7,262",0.8%,1.9%,18,2,0,104.2,-1.8%,-0.3%,660
"Boston, MA metro area",August 2022,675.0,-1.9%,8.0%,"4,908",5.2%,-13.8%,"3,970",-17.2%,-20.5%,"6,358",-12.4%,-2.9%,20,2,1,102.2,-2.0%,-1.4%,660
"Boston, MA metro area",September 2022,650.0,-3.7%,7.4%,"4,024",-18.0%,-21.5%,"5,156",29.9%,-21.9%,"7,280",14.5%,-7.7%,21,1,1,101.3,-0.8%,-1.5%,641
"Boston, MA metro area",October 2022,630.0,-3.1%,5.0%,"3,437",-14.6%,-22.8%,"3,889",-24.6%,-18.4%,"6,882",-5.5%,0.4%,21,0,1,100.7,-0.6%,-1.6%,625
"Boston, MA metro area",November 2022,641.0,1.7%,5.0%,"3,320",-3.4%,-30.4%,"2,803",-27.9%,-18.8%,"5,753",-16.4%,12.7%,22,1,2,100.4,-0.3%,-1.8%,638
"Boston, MA metro area",December 2022,605.0,-5.5%,-2.4%,"3,288",-1.0%,-32.9%,"1,285",-54.2%,-31.2%,"4,022",-30.1%,25.3%,25,3,4,99.6,-0.8%,-2.4%,607
"Boston, MA metro area",January 2023,610.0,0.8%,2.5%,"2,164",-34.2%,-29.6%,"2,454",91.0%,-11.3%,"4,084",1.5%,22.4%,32,7,10,99.2,-0.4%,-2.4%,614
"Boston, MA metro area",February 2023,599.0,-1.9%,0.6%,"1,826",-15.6%,-17.6%,"2,657",8.3%,-23.8%,"3,944",-3.4%,10.7%,31,-1,9,99.6,0.5%,-2.8%,601
"Boston, MA metro area",March 2023,650.0,8.6%,2.0%,"2,663",45.8%,-17.6%,"4,424",66.5%,-25.7%,"4,923",24.8%,1.5%,22,-9,3,100.7,1.1%,-3.6%,645
"Boston, MA metro area",April 2023,668.0,2.8%,-1.0%,"2,577",-3.2%,-28.7%,"4,091",-7.5%,-31.0%,"5,159",4.8%,-7.8%,19,-3,2,102.2,1.5%,-3.4%,653
"Boston, MA metro area",May 2023,700.0,4.7%,1.4%,"3,444",33.6%,-23.9%,"5,183",26.7%,-18.4%,"5,528",7.2%,-7.8%,18,-1,2,102.9,0.8%,-3.4%,680
"Boston, MA metro area",June 2023,730.0,4.3%,3.5%,"4,486",30.3%,-21.5%,"4,381",-15.5%,-35.6%,"5,313",-3.9%,-26.2%,18,0,2,103.7,0.8%,-2.2%,703
"Boston, MA metro area",July 2023,735.0,0.7%,6.8%,"3,700",-17.5%,-20.7%,"3,545",-19.1%,-26.1%,"5,151",-3.0%,-29.1%,19,1,1,103.1,-0.6%,-1.1%,712
"Boston, MA metro area",August 2023,713.0,-3.0%,5.7%,"3,784",2.3%,-22.9%,"3,440",-3.0%,-13.4%,"4,881",-5.2%,-23.2%,19,0,-1,102.7,-0.3%,0.6%,694
"Boston, MA metro area",September 2023,685.0,-4.0%,5.4%,"3,063",-19.1%,-23.9%,"4,462",29.7%,-13.5%,"5,871",20.3%,-19.4%,20,1,-1,102.1,-0.7%,0.8%,670
"Boston, MA metro area",October 2023,685.0,0.0%,8.7%,"3,016",-1.5%,-12.2%,"3,799",-14.9%,-2.3%,"5,823",-0.8%,-15.4%,19,-1,-2,102.0,-0.1%,1.3%,671
"Boston, MA metro area",November 2023,675.0,-1.5%,5.4%,"3,024",0.3%,-8.9%,"2,681",-29.4%,-4.4%,"5,005",-14.0%,-13.0%,20,1,-2,101.5,-0.5%,1.1%,665
"Boston, MA metro area",December 2023,670.0,-0.7%,10.7%,"2,682",-11.3%,-18.4%,"1,253",-53.3%,-2.5%,"3,504",-30.0%,-12.9%,22,2,-3,100.7,-0.8%,1.2%,665
"Boston, MA metro area",January 2024,672.0,0.3%,10.2%,"1,982",-26.1%,-8.4%,"2,712",116.4%,10.5%,"3,919",11.8%,-4.0%,26,4,-6,100.1,-0.6%,1.0%,671
"Boston, MA metro area",February 2024,665.0,-1.1%,11.1%,"1,810",-8.7%,-0.9%,"3,155",16.3%,18.7%,"4,242",8.2%,7.6%,23,-3,-8,100.7,0.6%,1.1%,660
"Boston, MA metro area",March 2024,710.0,6.8%,9.2%,"2,456",35.7%,-7.8%,"3,645",15.5%,-17.6%,"4,349",2.5%,-11.7%,20,-3,-2,101.7,0.9%,1.0%,698
"Boston, MA metro area",April 2024,715.0,0.7%,7.0%,"2,931",19.3%,13.7%,"5,124",40.6%,25.3%,"5,410",24.4%,4.9%,18,-2,-1,102.8,1.1%,0.6%,695
"Boston, MA metro area",May 2024,735.0,2.8%,5.0%,"3,618",23.4%,5.1%,"5,814",13.5%,12.2%,"6,309",16.6%,14.1%,18,0,0,103.3,0.5%,0.4%,711
"Boston, MA metro area",June 2024,770.0,4.8%,5.5%,"4,041",11.7%,-9.9%,"4,823",-17.0%,10.1%,"6,374",1.0%,20.0%,18,0,0,103.3,0.0%,-0.4%,745
"Chicago, IL metro area",January 2012,140.0,-1.8%,-8.5%,"3,987",-25.9%,11.8%,"8,131",57.0%,-8.7%,"39,017",-1.1%,-18.1%,96,1,-2,93.8,-0.1%,-0.3%,149
"Chicago, IL metro area",February 2012,135.0,-3.6%,-9.2%,"4,312",8.2%,23.6%,"9,648",18.7%,9.7%,"39,506",1.3%,-18.3%,100,4,1,94.1,0.4%,-0.4%,143
"Chicago, IL metro area",March 2012,150.0,11.1%,-2.0%,"5,739",33.1%,20.6%,"11,637",20.6%,-7.2%,"40,215",1.8%,-19.0%,102,2,-3,94.6,0.4%,0.1%,158
"Chicago, IL metro area",April 2012,157.0,4.7%,-1.9%,"6,049",5.4%,19.3%,"11,118",-4.5%,-1.4%,"40,293",0.2%,-20.0%,87,-15,-20,94.8,0.2%,0.3%,165
"Chicago, IL metro area",May 2012,170.0,8.3%,3.0%,"7,278",20.3%,26.0%,"11,206",0.8%,0.0%,"40,143",-0.4%,-21.2%,70,-17,-21,95.1,0.2%,0.5%,178
"Chicago, IL metro area",June 2012,180.0,5.9%,1.1%,"7,912",8.7%,21.2%,"10,782",-3.8%,2.3%,"39,893",-0.6%,-21.4%,62,-8,-20,95.5,0.4%,1.1%,188
"Chicago, IL metro area",July 2012,172.0,-4.4%,-4.4%,"7,384",-6.7%,29.4%,"9,929",-7.9%,6.3%,"39,245",-1.6%,-21.2%,62,0,-20,95.4,-0.1%,1.0%,180
"Chicago, IL metro area",August 2012,170.0,-1.2%,-2.6%,"8,029",8.7%,29.2%,"9,646",-2.9%,0.9%,"37,979",-3.2%,-21.8%,64,2,-25,95.5,0.1%,1.6%,178
"Chicago, IL metro area",September 2012,160.0,-5.9%,0.0%,"6,542",-18.5%,21.5%,"8,746",-9.3%,4.0%,"37,043",-2.5%,-21.0%,63,-1,-23,95.7,0.2%,1.6%,167
"Chicago, IL metro area",October 2012,154.0,-3.8%,3.8%,"7,215",10.3%,43.9%,"8,671",-0.9%,8.7%,"35,056",-5.4%,-21.9%,66,3,-26,95.5,-0.2%,1.6%,161
"Chicago, IL metro area",November 2012,155.0,0.6%,4.4%,"6,637",-8.0%,37.7%,"6,579",-24.1%,-2.9%,"32,265",-8.0%,-24.2%,68,2,-22,95.4,-0.1%,1.6%,162
"Chicago, IL metro area",December 2012,151.0,-2.6%,5.9%,"6,439",-3.0%,19.7%,"5,223",-20.6%,0.9%,"29,429",-8.8%,-25.4%,69,1,-26,95.3,-0.1%,1.4%,158
"Chicago, IL metro area",January 2013,141.0,-6.6%,0.7%,"5,461",-15.2%,37.0%,"9,046",73.2%,11.3%,"29,429",0.0%,-24.6%,75,6,-21,95.6,0.2%,1.8%,147
"Chicago, IL metro area",February 2013,139.0,-1.4%,3.0%,"5,158",-5.5%,19.6%,"9,626",6.4%,-0.2%,"29,553",0.4%,-25.2%,73,-2,-27,95.9,0.3%,1.8%,144
"Chicago, IL metro area",March 2013,155.0,11.5%,3.3%,"6,883",33.4%,19.9%,"10,880",13.0%,-6.5%,"29,337",-0.7%,-27.0%,66,-7,-36,96.2,0.3%,1.7%,161
"Chicago, IL metro area",April 2013,173.0,11.6%,10.2%,"7,933",15.3%,31.1%,"12,794",17.6%,15.1%,"29,926",2.0%,-25.7%,50,-16,-37,96.8,0.6%,2.0%,178
"Chicago, IL metro area",May 2013,184.0,6.4%,8.2%,"9,492",19.7%,30.4%,"12,686",-0.8%,13.2%,"30,544",2.1%,-23.9%,44,-6,-26,97.1,0.4%,2.1%,189
"Chicago, IL metro area",June 2013,207.0,12.5%,15.0%,"9,575",0.9%,21.0%,"12,085",-4.7%,12.1%,"31,105",1.8%,-22.0%,39,-5,-23,97.3,0.2%,1.8%,212
"Chicago, IL metro area",July 2013,203.0,-2.2%,17.7%,"10,144",5.9%,37.4%,"11,826",-2.1%,19.1%,"31,481",1.2%,-19.8%,38,-1,-24,97.5,0.2%,2.1%,208
"Chicago, IL metro area",August 2013,198.0,-2.2%,16.5%,"9,969",-1.7%,24.2%,"11,229",-5.0%,16.4%,"31,438",-0.1%,-17.2%,39,1,-25,97.5,0.0%,2.0%,203
"Chicago, IL metro area",September 2013,185.0,-6.6%,15.6%,"8,315",-16.6%,27.1%,"10,080",-10.2%,15.3%,"31,899",1.5%,-13.9%,41,2,-22,97.3,-0.2%,1.7%,190
"Chicago, IL metro area",October 2013,175.0,-5.4%,13.6%,"8,104",-2.5%,12.3%,"9,322",-7.5%,7.5%,"31,756",-0.4%,-9.4%,44,3,-22,97.0,-0.3%,1.6%,180
"Chicago, IL metro area",November 2013,170.0,-2.9%,9.7%,"6,640",-18.1%,0.0%,"6,793",-27.1%,3.3%,"28,083",-11.6%,-13.0%,50,6,-18,96.8,-0.2%,1.4%,175
"Chicago, IL metro area",December 2013,175.0,2.9%,15.9%,"7,130",7.4%,10.7%,"5,629",-17.1%,7.8%,"25,841",-8.0%,-12.2%,52,2,-17,97.1,0.3%,1.8%,180
"Chicago, IL metro area",January 2014,164.0,-6.3%,16.3%,"5,080",-28.8%,-7.0%,"7,549",34.1%,-16.5%,"25,572",-1.0%,-13.1%,59,7,-16,96.7,-0.4%,1.2%,169
"Chicago, IL metro area",February 2014,158.0,-3.7%,13.6%,"4,961",-2.3%,-3.8%,"9,153",21.2%,-4.9%,"26,575",3.9%,-10.1%,65,6,-8,96.9,0.2%,1.0%,163
"Chicago, IL metro area",March 2014,176.0,11.4%,13.5%,"6,235",25.7%,-9.4%,"12,031",31.4%,10.6%,"28,050",5.6%,-4.4%,61,-4,-5,96.8,-0.1%,0.5%,181
"Chicago, IL metro area",April 2014,188.0,6.5%,8.4%,"7,371",18.2%,-7.1%,"14,073",17.0%,10.0%,"29,922",6.7%,0.0%,45,-16,-5,97.3,0.6%,0.5%,193
"Chicago, IL metro area",May 2014,210.0,12.0%,14.1%,"8,482",15.1%,-10.6%,"14,032",-0.3%,10.6%,"31,379",4.9%,2.7%,37,-8,-7,97.3,-0.1%,0.1%,215
"Chicago, IL metro area",June 2014,220.0,4.8%,6.3%,"9,687",14.2%,1.2%,"13,402",-4.5%,10.9%,"34,229",9.1%,10.0%,33,-4,-6,97.4,0.1%,0.1%,225
"Chicago, IL metro area",July 2014,220.0,0.0%,8.6%,"9,616",-0.7%,-5.2%,"12,472",-6.9%,5.5%,"36,403",6.4%,15.6%,33,0,-5,97.4,0.0%,-0.1%,225
"Chicago, IL metro area",August 2014,217.0,-1.4%,9.5%,"9,019",-6.2%,-9.5%,"10,880",-12.8%,-3.1%,"36,229",-0.5%,15.2%,40,7,1,97.0,-0.3%,-0.5%,223
"Chicago, IL metro area",September 2014,198.0,-8.9%,6.8%,"7,929",-12.1%,-4.6%,"10,702",-1.6%,6.2%,"36,198",-0.1%,13.5%,44,4,3,96.7,-0.4%,-0.7%,204
"Chicago, IL metro area",October 2014,187.0,-5.2%,6.9%,"7,931",0.0%,-2.1%,"9,509",-11.1%,2.0%,"34,909",-3.6%,9.9%,50,6,6,96.5,-0.2%,-0.5%,193
"Chicago, IL metro area",November 2014,183.0,-2.2%,7.6%,"6,120",-22.8%,-7.8%,"6,729",-29.2%,-0.9%,"32,353",-7.3%,15.2%,54,4,4,96.3,-0.2%,-0.5%,190
"Chicago, IL metro area",December 2014,184.0,0.5%,5.1%,"7,027",14.8%,-1.4%,"5,360",-20.3%,-4.8%,"29,191",-9.8%,13.0%,59,5,7,96.1,-0.1%,-1.0%,191
"Chicago, IL metro area",January 2015,178.0,-3.3%,8.5%,"4,928",-29.9%,-3.0%,"8,434",57.4%,11.7%,"29,146",-0.2%,14.0%,70,11,11,95.9,-0.2%,-0.8%,185
"Chicago, IL metro area",February 2015,172.0,-3.4%,8.9%,"5,036",2.2%,1.5%,"9,766",15.8%,6.7%,"29,965",2.8%,12.8%,78,8,13,95.8,-0.1%,-1.1%,179
"Chicago, IL metro area",March 2015,200.0,16.3%,13.6%,"7,203",43.0%,15.5%,"13,898",42.3%,15.5%,"32,013",6.8%,14.1%,71,-7,10,96.3,0.5%,-0.4%,207
"Chicago, IL metro area",April 2015,210.0,5.0%,12.0%,"8,024",11.4%,8.9%,"14,846",6.8%,5.5%,"34,326",7.2%,14.7%,52,-19,7,96.8,0.5%,-0.5%,216
"Chicago, IL metro area",May 2015,223.0,6.2%,6.2%,"9,207",14.7%,8.5%,"14,078",-5.2%,0.3%,"35,583",3.7%,13.4%,42,-10,5,97.0,0.2%,-0.2%,229
"Chicago, IL metro area",June 2015,234.0,4.9%,6.4%,"11,271",22.4%,16.4%,"13,525",-3.9%,0.9%,"36,413",2.3%,6.4%,39,-3,6,97.2,0.1%,-0.2%,240
"Chicago, IL metro area",July 2015,228.0,-2.6%,3.6%,"10,699",-5.1%,11.3%,"12,441",-8.0%,-0.2%,"36,491",0.2%,0.2%,40,1,7,97.1,-0.1%,-0.2%,234
"Chicago, IL metro area",August 2015,224.0,-1.8%,3.3%,"9,484",-11.4%,5.2%,"11,029",-11.3%,1.4%,"35,676",-2.2%,-1.5%,44,4,4,96.8,-0.3%,-0.2%,231
"Chicago, IL metro area",September 2015,210.0,-6.3%,6.3%,"8,487",-10.5%,7.0%,"10,156",-7.9%,-5.1%,"34,766",-2.6%,-4.0%,46,2,2,96.8,0.0%,0.2%,216
"Chicago, IL metro area",October 2015,200.0,-4.8%,6.9%,"8,134",-4.2%,2.6%,"9,241",-9.0%,-2.8%,"33,090",-4.8%,-5.2%,52,6,2,96.6,-0.2%,0.1%,207
"Chicago, IL metro area",November 2015,197.0,-1.5%,7.7%,"6,136",-24.6%,0.3%,"6,623",-28.3%,-1.6%,"29,974",-9.4%,-7.4%,55,3,1,96.4,-0.2%,0.1%,204
"Chicago, IL metro area",December 2015,200.0,1.5%,8.7%,"7,292",18.8%,3.8%,"4,959",-25.1%,-7.5%,"26,384",-12.0%,-9.6%,58,3,-1,96.3,-0.1%,0.2%,207
"Chicago, IL metro area",January 2016,190.0,-5.0%,6.7%,"5,407",-25.9%,9.7%,"8,145",64.2%,-3.4%,"26,410",0.1%,-9.4%,66,8,-4,96.3,0.0%,0.4%,197
"Chicago, IL metro area",February 2016,190.0,0.0%,10.5%,"5,375",-0.6%,6.7%,"11,661",43.2%,19.4%,"28,273",7.1%,-5.6%,71,5,-7,96.4,0.1%,0.6%,197
"Chicago, IL metro area",March 2016,210.0,10.7%,5.1%,"7,322",36.2%,1.7%,"14,113",21.0%,1.5%,"29,928",5.9%,-6.5%,63,-8,-8,96.9,0.5%,0.6%,216
"Chicago, IL metro area",April 2016,231.0,9.9%,10.0%,"8,850",20.9%,10.3%,"14,291",1.3%,-3.7%,"31,374",4.8%,-8.6%,41,-22,-11,97.2,0.3%,0.4%,237
"Chicago, IL metro area",May 2016,235.0,1.7%,5.4%,"10,064",13.7%,9.3%,"13,918",-2.6%,-1.1%,"32,423",3.3%,-8.9%,36,-5,-6,97.4,0.2%,0.4%,241
"Chicago, IL metro area",June 2016,246.0,4.7%,5.1%,"11,635",15.6%,3.2%,"13,499",-3.0%,-0.2%,"32,895",1.5%,-9.7%,33,-3,-6,97.6,0.2%,0.4%,252
"Chicago, IL metro area",July 2016,241.0,-2.0%,5.7%,"9,985",-14.2%,-6.7%,"11,732",-13.1%,-5.7%,"32,930",0.1%,-9.8%,35,2,-5,97.5,-0.1%,0.4%,247
"Chicago, IL metro area",August 2016,235.0,-2.5%,4.9%,"10,312",3.3%,8.7%,"10,978",-6.4%,-0.5%,"32,126",-2.4%,-10.0%,39,4,-5,97.2,-0.3%,0.4%,241
"Chicago, IL metro area",September 2016,220.0,-6.4%,4.8%,"8,632",-16.3%,1.7%,"10,175",-7.3%,0.2%,"31,733",-1.2%,-8.7%,41,2,-5,97.1,-0.1%,0.3%,226
"Chicago, IL metro area",October 2016,220.0,0.0%,10.0%,"7,726",-10.5%,-5.0%,"8,583",-15.6%,-7.1%,"29,926",-5.7%,-9.6%,46,5,-6,96.9,-0.2%,0.3%,227
"Chicago, IL metro area",November 2016,215.0,-2.3%,9.1%,"7,123",-7.8%,16.1%,"6,560",-23.6%,-1.0%,"27,150",-9.3%,-9.4%,49,3,-6,96.8,-0.1%,0.4%,222
"Chicago, IL metro area",December 2016,215.0,0.0%,7.5%,"7,067",-0.8%,-3.1%,"4,603",-29.8%,-7.2%,"23,518",-13.4%,-10.9%,54,5,-4,96.6,-0.2%,0.3%,222
"Chicago, IL metro area",January 2017,208.0,-3.3%,9.5%,"5,504",-22.1%,1.8%,"8,477",84.2%,4.1%,"23,516",0.0%,-11.0%,62,8,-4,96.4,-0.2%,0.1%,215
"Chicago, IL metro area",February 2017,209.0,0.5%,10.0%,"5,252",-4.6%,-2.3%,"11,274",33.0%,-3.3%,"25,233",7.3%,-10.8%,66,4,-5,96.8,0.4%,0.4%,215
"Chicago, IL metro area",March 2017,235.0,12.4%,11.7%,"8,446",60.8%,15.4%,"14,293",26.8%,1.3%,"26,784",6.1%,-10.5%,50,-16,-13,97.3,0.5%,0.4%,241
"Chicago, IL metro area",April 2017,247.0,5.0%,6.7%,"8,792",4.1%,-0.7%,"13,153",-8.0%,-8.0%,"27,757",3.6%,-11.5%,33,-17,-8,97.6,0.3%,0.4%,253
"Chicago, IL metro area",May 2017,250.0,1.4%,6.4%,"10,764",22.4%,7.0%,"14,018",6.6%,0.7%,"28,511",2.7%,-12.1%,29,-4,-7,97.8,0.1%,0.4%,255
"Chicago, IL metro area",June 2017,255.0,1.8%,3.5%,"12,067",12.1%,3.7%,"13,602",-3.0%,0.8%,"29,536",3.6%,-10.2%,28,-1,-5,97.9,0.1%,0.3%,260
"Chicago, IL metro area",July 2017,250.0,-1.8%,3.7%,"9,719",-19.5%,-2.7%,"11,501",-15.4%,-2.0%,"29,782",0.8%,-9.6%,30,2,-5,97.8,-0.1%,0.3%,255
"Chicago, IL metro area",August 2017,240.0,-4.0%,2.1%,"10,127",4.2%,-1.8%,"11,195",-2.7%,2.0%,"29,531",-0.8%,-8.1%,32,2,-7,97.5,-0.3%,0.2%,246
"Chicago, IL metro area",September 2017,234.0,-2.5%,6.4%,"8,274",-18.3%,-4.1%,"10,150",-9.3%,-0.2%,"29,395",-0.5%,-7.4%,36,4,-5,97.3,-0.2%,0.2%,240
"Chicago, IL metro area",October 2017,225.0,-3.8%,2.3%,"7,927",-4.2%,2.6%,"8,931",-12.0%,4.1%,"27,676",-5.8%,-7.5%,41,5,-5,97.0,-0.3%,0.1%,231
"Chicago, IL metro area",November 2017,225.0,0.0%,4.7%,"7,142",-9.9%,0.3%,"6,630",-25.8%,1.1%,"24,862",-10.2%,-8.4%,44,3,-5,97.0,0.0%,0.2%,231
"Chicago, IL metro area",December 2017,227.0,0.9%,5.6%,"7,102",-0.6%,0.5%,"4,524",-31.8%,-1.7%,"21,462",-13.7%,-8.7%,49,5,-5,97.0,0.0%,0.4%,234
"Chicago, IL metro area",January 2018,225.0,-0.9%,8.2%,"5,185",-27.0%,-5.8%,"8,209",81.5%,-3.2%,"21,442",-0.1%,-8.8%,56,7,-6,96.7,-0.2%,0.4%,232
"Chicago, IL metro area",February 2018,230.0,2.2%,10.0%,"5,090",-1.8%,-3.1%,"10,344",26.0%,-8.2%,"22,947",7.0%,-9.1%,64,8,-2,96.9,0.2%,0.1%,237
"Chicago, IL metro area",March 2018,245.0,6.5%,4.3%,"7,793",53.1%,-7.7%,"13,695",32.4%,-4.2%,"24,462",6.6%,-8.7%,47,-17,-3,97.3,0.4%,0.0%,251
"Chicago, IL metro area",April 2018,253.0,3.1%,2.4%,"9,104",16.8%,3.5%,"14,348",4.8%,9.1%,"26,281",7.4%,-5.3%,31,-16,-2,97.7,0.4%,0.1%,258
"Chicago, IL metro area",May 2018,255.0,1.0%,2.0%,"10,597",16.4%,-1.6%,"14,534",1.3%,3.7%,"28,040",6.7%,-1.7%,26,-5,-3,97.8,0.1%,0.0%,260
"Chicago, IL metro area",June 2018,265.0,3.9%,4.1%,"11,374",7.3%,-5.7%,"13,179",-9.3%,-3.1%,"29,333",4.6%,-0.7%,27,1,-1,98.0,0.2%,0.1%,270
"Chicago, IL metro area",July 2018,255.0,-3.8%,2.0%,"9,809",-13.8%,0.9%,"12,220",-7.3%,6.3%,"30,100",2.6%,1.1%,29,2,-1,97.8,-0.2%,0.0%,260
"Chicago, IL metro area",August 2018,245.0,-3.9%,2.1%,"9,965",1.6%,-1.6%,"11,225",-8.1%,0.3%,"29,999",-0.3%,1.6%,32,3,0,97.5,-0.4%,0.0%,251
"Chicago, IL metro area",September 2018,240.0,-2.0%,2.6%,"7,464",-25.1%,-9.8%,"10,084",-10.2%,-0.7%,"30,169",0.6%,2.6%,36,4,0,97.3,-0.2%,0.0%,246
"Chicago, IL metro area",October 2018,232.0,-3.3%,3.1%,"7,876",5.5%,-0.6%,"9,336",-7.4%,4.5%,"28,776",-4.6%,4.0%,41,5,0,97.1,-0.1%,0.1%,238
"Chicago, IL metro area",November 2018,235.0,1.3%,4.4%,"7,035",-10.7%,-1.5%,"6,226",-33.3%,-6.1%,"25,894",-10.0%,4.2%,47,6,3,96.9,-0.2%,-0.1%,242
"Chicago, IL metro area",December 2018,229.0,-2.6%,0.9%,"6,036",-14.2%,-15.0%,"4,124",-33.8%,-8.8%,"22,518",-13.0%,4.9%,54,7,5,96.7,-0.3%,-0.3%,236
"Chicago, IL metro area",January 2019,225.0,-1.7%,0.0%,"4,615",-23.5%,-11.0%,"7,699",86.7%,-6.2%,"22,561",0.2%,5.2%,62,8,6,96.5,-0.2%,-0.2%,233
"Chicago, IL metro area",February 2019,233.0,3.3%,1.1%,"4,921",6.6%,-3.3%,"10,203",32.5%,-1.4%,"24,355",8.0%,6.1%,70,8,6,96.8,0.3%,-0.1%,240
"Chicago, IL metro area",March 2019,243.0,4.5%,-0.8%,"6,956",41.4%,-10.7%,"13,417",31.5%,-2.0%,"26,566",9.1%,8.6%,56,-14,9,97.3,0.5%,0.0%,249
"Chicago, IL metro area",April 2019,255.0,4.9%,1.0%,"8,578",23.3%,-5.8%,"14,562",8.5%,1.5%,"28,697",8.0%,9.2%,35,-21,4,97.5,0.2%,-0.2%,261
"Chicago, IL metro area",May 2019,262.0,2.7%,2.7%,"10,349",20.6%,-2.3%,"14,266",-2.0%,-1.8%,"30,310",5.6%,8.1%,30,-5,4,97.7,0.2%,-0.1%,268
"Chicago, IL metro area",June 2019,265.0,1.1%,0.0%,"10,121",-2.2%,-11.0%,"12,728",-10.8%,-3.4%,"31,349",3.4%,6.9%,29,-1,2,97.7,0.0%,-0.3%,271
"Chicago, IL metro area",July 2019,261.0,-1.4%,2.5%,"9,949",-1.7%,1.4%,"11,764",-7.6%,-3.7%,"31,546",0.6%,4.8%,32,3,3,97.5,-0.2%,-0.3%,267
"Chicago, IL metro area",August 2019,254.0,-2.8%,3.7%,"9,389",-5.6%,-5.8%,"10,818",-8.0%,-3.6%,"31,401",-0.5%,4.7%,37,5,5,97.4,-0.1%,0.0%,260
"Chicago, IL metro area",September 2019,243.0,-4.3%,1.3%,"7,603",-19.0%,1.9%,"10,048",-7.1%,-0.4%,"30,980",-1.3%,2.7%,41,4,5,97.2,-0.2%,0.0%,250
"Chicago, IL metro area",October 2019,240.0,-1.2%,3.4%,"7,752",2.0%,-1.6%,"9,076",-9.7%,-2.8%,"29,394",-5.1%,2.1%,48,7,7,97.0,-0.2%,-0.1%,247
"Chicago, IL metro area",November 2019,241.0,0.5%,2.7%,"6,527",-15.8%,-7.2%,"5,802",-36.1%,-6.8%,"25,938",-11.8%,0.2%,50,2,3,96.8,-0.2%,-0.1%,248
"Chicago, IL metro area",December 2019,240.0,-0.5%,4.8%,"6,891",5.6%,14.2%,"4,418",-23.9%,7.1%,"22,333",-13.9%,-0.8%,55,5,1,96.7,-0.1%,0.1%,248
"Chicago, IL metro area",January 2020,234.0,-2.5%,4.0%,"5,114",-25.8%,10.8%,"8,303",87.9%,7.8%,"22,127",-0.9%,-1.9%,65,10,3,96.5,-0.2%,0.0%,242
"Chicago, IL metro area",February 2020,242.0,3.4%,4.1%,"5,258",2.8%,6.8%,"11,039",33.0%,8.2%,"22,545",1.9%,-7.4%,72,7,2,96.8,0.3%,0.0%,250
"Chicago, IL metro area",March 2020,265.0,9.5%,9.1%,"7,198",36.9%,3.5%,"10,984",-0.5%,-18.1%,"22,549",0.0%,-15.1%,47,-25,-9,97.5,0.7%,0.2%,271
"Chicago, IL metro area",April 2020,275.0,3.8%,7.8%,"7,228",0.4%,-15.7%,"6,899",-37.2%,-52.6%,"21,811",-3.3%,-24.0%,25,-22,-10,97.7,0.2%,0.2%,281
"Chicago, IL metro area",May 2020,265.0,-3.6%,1.1%,"6,350",-12.1%,-38.6%,"10,201",47.9%,-28.5%,"21,678",-0.6%,-28.5%,28,3,-2,97.2,-0.5%,-0.5%,272
"Chicago, IL metro area",June 2020,270.0,1.7%,1.7%,"8,095",27.5%,-20.0%,"12,940",26.9%,1.7%,"21,622",-0.3%,-31.0%,30,2,1,97.4,0.1%,-0.3%,277
"Chicago, IL metro area",July 2020,280.0,3.9%,7.2%,"10,875",34.3%,9.3%,"13,659",5.6%,16.1%,"22,067",2.1%,-30.0%,23,-7,-9,97.9,0.5%,0.3%,286
"Chicago, IL metro area",August 2020,285.0,1.8%,12.2%,"11,047",1.6%,17.7%,"12,861",-5.8%,18.9%,"22,077",0.0%,-29.7%,21,-2,-16,98.0,0.1%,0.6%,290
"Chicago, IL metro area",September 2020,276.0,-3.2%,13.6%,"10,316",-6.6%,35.7%,"12,132",-5.7%,20.7%,"22,262",0.8%,-28.1%,20,-1,-21,98.2,0.2%,0.9%,281
"Chicago, IL metro area",October 2020,275.0,-0.4%,14.6%,"10,402",0.8%,34.2%,"10,645",-12.3%,17.3%,"21,379",-4.0%,-27.3%,19,-1,-29,98.2,0.0%,1.2%,280
"Chicago, IL metro area",November 2020,270.0,-1.8%,11.9%,"8,339",-19.8%,27.8%,"7,089",-33.4%,22.2%,"18,884",-11.7%,-27.2%,20,1,-30,98.1,-0.1%,1.3%,275
"Chicago, IL metro area",December 2020,269.0,-0.4%,12.1%,"9,114",9.3%,32.3%,"5,330",-24.8%,20.6%,"16,061",-14.9%,-28.1%,23,3,-32,98.1,-0.1%,1.3%,274
"Chicago, IL metro area",January 2021,270.0,0.4%,15.4%,"6,159",-32.4%,20.4%,"8,125",52.4%,-2.1%,"14,924",-7.1%,-32.6%,32,9,-33,98.0,-0.1%,1.5%,275
